,Artists,uri
0,Ariana Grande,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR
1,24kGoldn,spotify:artist:6fWVd57NKTalqvmjRd2t8Z
2,Internet Money,spotify:artist:6MPCFvOQv5cIGfw3jODMF0
3,Cardi B,spotify:artist:4kYSro6naA4h99UJvo89HB
4,BTS,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX
5,Pop Smoke,spotify:artist:0eDvMgVFoNV3TpwtrVCoTj
6,Maluma,spotify:artist:1r4hJ1h58CWwUQe3MxPuau
7,The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ
8,Justin Bieber,spotify:artist:1uNFoZAHBGtllmzznpCI3s
9,Pop Smoke,spotify:artist:0eDvMgVFoNV3TpwtrVCoTj
10,Justin Bieber,spotify:artist:1uNFoZAHBGtllmzznpCI3s
11,Harry Styles,spotify:artist:6KImCVD70vtIoJWnq6nGn3
12,Tate McRae,spotify:artist:45dkTj5sMRSjrmBSBeiHym
13,Joel Corry,spotify:artist:6DgP9otnZw5z6daOntINxp
14,DaBaby,spotify:artist:4r63FhuTkUYltbVAg5TQnk
15,Sech,spotify:artist:77ziqFxp5gaInVrF2lj4ht
16,Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4
17,Ritt Momney,spotify:artist:7MPGCB854Qo4alYMOPkBka
18,Conan Gray,spotify:artist:4Uc8Dsxct0oMqx0P6i60ea
19,Shawn Mendes,spotify:artist:7n2wHs1TKAczGzO7Dd2rGr
20,Jawsh 685,spotify:artist:56mfhUDKa1vec6rSLZV5Eg
21,Farruko,spotify:artist:329e4yvIujISKGKz1BZZbO
22,Fleetwood Mac,spotify:artist:08GQAI4eElDnROBrJRGE0X
23,Camilo,spotify:artist:1mcTU81TzQhprhouKaTkpq
24,Jay Wheeler,spotify:artist:2cPqdH7XMvwaBJEVjheH8g
25,Lewis Capaldi,spotify:artist:4GNC7GD6oZMSxPGyXy4MNB
26,SAINt JHN,spotify:artist:0H39MdGGX6dbnnQPt6NQkZ
27,J Balvin,spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5
28,Lele Pons,spotify:artist:6i3DxIlAqnDkwELLw4aVrx
29,Luke Combs,spotify:artist:718COspgdWOnwOFpJHRZHS
30,BLACKPINK,spotify:artist:41MozSoPIsD1dJM0CLPjZF
31,Topic,spotify:artist:0u6GtibW46tFX7koQ6uNJZ
32,Jason Derulo,spotify:artist:56mfhUDKa1vec6rSLZV5Eg
33,BLACKPINK,spotify:artist:41MozSoPIsD1dJM0CLPjZF
34,Lewis Capaldi,spotify:artist:4GNC7GD6oZMSxPGyXy4MNB
35,Tones And I,spotify:artist:2NjfBq1NflQcKSeiDooVjY
36,KAROL G,spotify:artist:790FomKkXshlbRYZFtlgla
37,Ozuna,spotify:artist:4VMYDCV2IEDYJArk749S6m
38,Miley Cyrus,spotify:artist:5YGY8feqx7naU7z4HrwZM6
39,DJ Khaled,spotify:artist:0QHgL1lAIqAw0HtD7YldmP
40,Ozuna,spotify:artist:4VMYDCV2IEDYJArk749S6m
41,Justin Quiles,spotify:artist:14zUHaJZo1mnYtn6IBRaRP
42,Pop Smoke,spotify:artist:0eDvMgVFoNV3TpwtrVCoTj
43,Juice WRLD,spotify:artist:4MCBfE4596Uoi2O4DtmEMz
44,Nio Garcia,spotify:artist:5hdhHgpxyniooUiQVaPxQ0
45,Rauw Alejandro,spotify:artist:1mcTU81TzQhprhouKaTkpq
46,Ashnikko,spotify:artist:3PyJHH2wyfQK3WZrk9rpmP
47,Manuel Turizo,spotify:artist:0tmwSHipWxN12fsoLcFU3B
48,BLACKPINK,spotify:artist:41MozSoPIsD1dJM0CLPjZF
49,Maluma,spotify:artist:1r4hJ1h58CWwUQe3MxPuau
50,Powfu,spotify:artist:6bmlMHgSheBauioMgKv2tn
51,Dua Lipa,spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5
52,Lil Mosey,spotify:artist:5zctI4wO9XSKS8XwcnqEHk
53,Jerry Di,spotify:artist:7f02bxFbZIOVdSbYRNYvLT
54,Clairo,spotify:artist:3l0CmX0FuQjFxr8SK7Vqag
55,Juice WRLD,spotify:artist:4MCBfE4596Uoi2O4DtmEMz
56,Dua Lipa,spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5
57,Ty Dolla $ign,spotify:artist:246dkjvS1zLTtiykXe5h60
58,Lady Gaga,spotify:artist:1HY2Jd0NmPuamShAr6KMms
59,Wisin,spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5
60,Ozuna,spotify:artist:4VMYDCV2IEDYJArk749S6m
61,Post Malone,spotify:artist:20gsENnposVs2I4rQ5kvrf
62,Chris Brown,spotify:artist:7bXgB6jMjp9ATFy66eO08Z
63,Travis Scott,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY
64,Juice WRLD,spotify:artist:4MCBfE4596Uoi2O4DtmEMz
65,Machine Gun Kelly,spotify:artist:6TIYQ3jFPwQSRmorSezPxX
66,Roddy Ricch,spotify:artist:4r63FhuTkUYltbVAg5TQnk
67,Ariana Grande,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR
68,Fousheé,spotify:artist:6trIghKwHRUyxwvm66HLHH
69,Maroon 5,spotify:artist:04gDigrS5kc9YWfZHwBETP
70,Harry Styles,spotify:artist:6KImCVD70vtIoJWnq6nGn3
71,Juice WRLD,spotify:artist:4MCBfE4596Uoi2O4DtmEMz
72,salem ilese,spotify:artist:3QJUFtGBGL05vo0kCJZsmT
73,Trevor Daniel,spotify:artist:7uaIm6Pw7xplS8Dy06V6pT
74,Shawn Mendes,spotify:artist:7n2wHs1TKAczGzO7Dd2rGr
75,Jack Harlow,spotify:artist:2LIk90788K0zvyj2JJVwkJ
76,James Arthur,spotify:artist:4IWBUUAFIplrNtaOHcJPRM
77,Post Malone,spotify:artist:20gsENnposVs2I4rQ5kvrf
78,BLACKPINK,spotify:artist:41MozSoPIsD1dJM0CLPjZF
79,Jack Harlow,spotify:artist:2LIk90788K0zvyj2JJVwkJ
80,The Kid LAROI,spotify:artist:2tIP7SsRs7vjIcLrU85W8J
81,Billie Eilish,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH
82,Travis Scott,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY
83,Tainy,spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5
