Position,Track Name,Artist,Streams,URL
1,positions,Ariana Grande,5562474,https://open.spotify.com/track/7igeByaBM0MgGsgXtNxDJ7
2,Mood (feat. iann dior),24kGoldn,4757112,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
3,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,3972344,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
4,WAP (feat. Megan Thee Stallion),Cardi B,3402353,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
5,Dynamite,BTS,3363701,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
6,What You Know Bout Love,Pop Smoke,3326625,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
7,Hawái,Maluma,3301526,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
8,Blinding Lights,The Weeknd,3038387,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
9,Holy (feat. Chance The Rapper),Justin Bieber,2772122,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
10,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,2738232,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
11,Lonely (with benny blanco),Justin Bieber,2672080,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
12,Watermelon Sugar,Harry Styles,2653240,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
13,you broke me first,Tate McRae,2501863,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
14,Head & Heart (feat. MNEK),Joel Corry,2410024,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
15,ROCKSTAR (feat. Roddy Ricch),DaBaby,2227611,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
16,Relación - Remix,Sech,2219375,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
17,Laugh Now Cry Later (feat. Lil Durk),Drake,2148239,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
18,Put Your Records On,Ritt Momney,2103651,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
19,Heather,Conan Gray,2067587,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
20,Wonder,Shawn Mendes,1978822,https://open.spotify.com/track/5KCbr5ndeby4y4ggthdiAb
21,Savage Love (Laxed - Siren Beat),Jawsh 685,1963553,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
22,La Tóxica,Farruko,1892282,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
23,Dreams - 2004 Remaster,Fleetwood Mac,1844289,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
24,Vida de Rico,Camilo,1839403,https://open.spotify.com/track/73nAK3HgQK8dak83Y2WQ8F
25,La Curiosidad,Jay Wheeler,1804952,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
26,Someone You Loved,Lewis Capaldi,1780688,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
27,Roses - Imanbek Remix,SAINt JHN,1764853,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
28,UN DIA (ONE DAY) (Feat. Tainy),J Balvin,1732977,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
29,Se Te Nota (with Guaynaa),Lele Pons,1725657,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
30,Forever After All,Luke Combs,1672789,https://open.spotify.com/track/6IBcOGPsniK3Pso1wHIhew
31,Ice Cream (with Selena Gomez),BLACKPINK,1661736,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz
32,Breaking Me,Topic,1635155,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
33,Take You Dancing,Jason Derulo,1631928,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
34,Lovesick Girls,BLACKPINK,1627097,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C
35,Before You Go,Lewis Capaldi,1623776,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
36,Dance Monkey,Tones And I,1598201,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
37,"Ay, DiOs Mío!",KAROL G,1593741,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
38,Una Locura,Ozuna,1574744,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
39,Midnight Sky,Miley Cyrus,1547815,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB
40,POPSTAR (feat. Drake),DJ Khaled,1539282,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
41,Despeinada,Ozuna,1511382,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
42,Jeans,Justin Quiles,1490059,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
43,Mood Swings (feat. Lil Tjay),Pop Smoke,1477459,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
44,Come & Go (with Marshmello),Juice WRLD,1443474,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
45,La Jeepeta - Remix,Nio Garcia,1436929,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
46,Tattoo - Remix with Camilo,Rauw Alejandro,1423028,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S
47,Daisy,Ashnikko,1398872,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk
48,La Nota,Manuel Turizo,1377240,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
49,How You Like That,BLACKPINK,1354205,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o
50,Parce (feat. Justin Quiles),Maluma,1347879,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
51,death bed (coffee for your head),Powfu,1308826,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
52,Levitating (feat. DaBaby),Dua Lipa,1284900,https://open.spotify.com/track/6OqrJqDMu15AGJHJazg9Nr
53,Blueberry Faygo,Lil Mosey,1257162,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
54,Mi Cuarto,Jerry Di,1253463,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
55,Sofia,Clairo,1249970,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
56,Wishing Well,Juice WRLD,1242825,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
57,Don't Start Now,Dua Lipa,1239071,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
58,Spicy (feat. Post Malone),Ty Dolla $ign,1216646,https://open.spotify.com/track/5IUtvfNvOyVYZUa6AJFrnP
59,Rain On Me (with Ariana Grande),Lady Gaga,1177900,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
60,Mi Niña,Wisin,1177193,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
61,Caramelo,Ozuna,1172319,https://open.spotify.com/track/5Jm4w8jmPEBTLjI9vH4fXo
62,Circles,Post Malone,1160802,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
63,Go Crazy,Chris Brown,1156657,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
64,goosebumps,Travis Scott,1139103,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
65,Lucid Dreams,Juice WRLD,1117435,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
66,my ex's best friend (with blackbear),Machine Gun Kelly,1116051,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
67,The Box,Roddy Ricch,1098395,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
68,Stuck with U (with Justin Bieber),Ariana Grande,1096297,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
